"Region","District","Village","Period","start","end"
"Amhara","Ibinat","Jiman Deregeha","flowering","08-22","09-15"
"Amhara","Ibinat","Jiman Deregeha","tasseling/seed filling","09-27","10-11"
"Amhara","Ibinat","Jiman Deregeha","harvesting","10-20","11-22"
"Amhara","Ibinat","Jiman Deregeha","land preparation","12-11","06-05"
"Amhara","Ibinat","Jiman Deregeha","planting","06-08","06-23"
"Amhara","Ibinat","Jiman Deregeha","flowering","08-07","08-22"
"Amhara","Ibinat","Jiman Deregeha","tasseling/seed filling","09-12","09-27"
"Amhara","Ibinat","Jiman Deregeha","harvesting","10-04","10-26"
"Amhara","Goncha Siso Enesie","Derit","land preparation","03-10","07-11"
"Amhara","Goncha Siso Enesie","Derit","planting","07-27","08-21"
"Amhara","Goncha Siso Enesie","Derit","flowering","09-06","09-27"
"Amhara","Goncha Siso Enesie","Derit","tasseling/seed filling","10-09","10-21"
"Amhara","Goncha Siso Enesie","Derit","harvesting","10-28","11-17"
"Amhara","Goncha Siso Enesie","Derit","land preparation","04-09","05-23"
"Amhara","Goncha Siso Enesie","Derit","planting","05-09","06-12"
"Amhara","Goncha Siso Enesie","Derit","flowering","08-21","09-05"
"Amhara","Goncha Siso Enesie","Derit","tasseling/seed filling","09-12","10-16"
"Amhara","Goncha Siso Enesie","Derit","harvesting","11-10","11-25"
"Amhara","Goncha Siso Enesie","Derit","land preparation","03-10","05-09"
"Amhara","Goncha Siso Enesie","Derit","planting","05-09","06-07"
"Amhara","Goncha Siso Enesie","Derit","flowering","08-07","09-05"
"Amhara","Goncha Siso Enesie","Derit","tasseling/seed filling","09-26","11-10"
"Amhara","Goncha Siso Enesie","Derit","harvesting","11-11","12-25"
